id,careers,interests,recrtTitle,jobId
1606,"[{'job': '설치/정비/생산', 'career': 11}]",['생산/제조'],[중증장애인 모집] 디자인 재택근무,Dd0cai2105140002
1607,"[{'job': '설치/정비/생산', 'career': 15}, {'job': '건설/채굴', 'career': 27}, {'job': '연구/공학기술', 'career': 24}]","['생산/제조', '매표소/카운터', '택배']",닭가공 생산직 구인,K120031504160011
1608,"[{'job': '설치/정비/생산', 'career': 26}, {'job': '경영/사무/금융/보험', 'career': 6}]","['생산/제조', '건물/시설관리']",Wafer 단순 가공 업무,K120031505180025
1609,"[{'job': '설치/정비/생산', 'career': 29}, {'job': '예술/디자인/방송/스포츠', 'career': 20}]","['생산/제조', '안전점검원', '요양/간병']",[경기광주] 농산물 가공 생산직원 모집,K120031603250036
1610,"[{'job': '설치/정비/생산', 'career': 35}, {'job': '교육/법률/사회복지/경찰/소방직/군인', 'career': 23}, {'job': '영업/판매/운전/운송', 'career': 31}]",['생산/제조'],커피로스팅 및 물류포장,K120031605230024
1611,"[{'job': '설치/정비/생산', 'career': 9}, {'job': '예술/디자인/방송/스포츠', 'career': 37}, {'job': '경영/사무/금융/보험', 'career': 13}]","['생산/제조', '기타']",[수원첨단벤처밸리] 인쇄물 제조및 출고 직원 모집,K120031606150019
1612,"[{'job': '설치/정비/생산', 'career': 13}]","['생산/제조', '써빙']",품질 검사원 모집,K120031611100031
1613,"[{'job': '설치/정비/생산', 'career': 35}]","['생산/제조', '영업/판매']",[월 210만 이상] 목재드럼 생산직 모집 - 중장년층 우대,K120031705080055
1614,"[{'job': '설치/정비/생산', 'career': 25}, {'job': '경영/사무/금융/보험', 'career': 33}, {'job': '영업/판매/운전/운송', 'career': 26}]",['생산/제조'],[월210이상/중장년층] 외국계기업 목재드럼 생산직 사원 모집,K120031708280073
1615,"[{'job': '설치/정비/생산', 'career': 38}, {'job': '예술/디자인/방송/스포츠', 'career': 6}, {'job': '미용/여행/숙박/음식/경비/청소', 'career': 28}]","['생산/제조', '주유', '편의점/마트']",생산직 채용(크레인 및 부분도색),K120031710230048
1616,"[{'job': '설치/정비/생산', 'career': 18}]","['생산/제조', '청소원', '배달']",제조관련 단순 작업원 채용(여성우대),K120031711130003
1617,"[{'job': '설치/정비/생산', 'career': 38}, {'job': '미용/여행/숙박/음식/경비/청소', 'career': 30}]","['생산/제조', '아파트청소']",운전 및 생산현장 보조 (이천 및 여주 거주자 ),K120031711270032
1618,"[{'job': '설치/정비/생산', 'career': 24}]",['생산/제조'],초등 수학 강사 모집-개포 두뇌로 영재 수학,K120032101290006
1619,"[{'job': '설치/정비/생산', 'career': 24}, {'job': '연구/공학기술', 'career': 17}, {'job': '농림어업', 'career': 38}]",['생산/제조'],서비스 교육 컨설턴트 (교육컨텐츠개발 및 강사),K120032106100026
1620,"[{'job': '설치/정비/생산', 'career': 10}, {'job': '미용/여행/숙박/음식/경비/청소', 'career': 28}, {'job': '교육/법률/사회복지/경찰/소방직/군인', 'career': 34}]","['생산/제조', '택배']",요양원 간호조무사 (치매프로그램 관리자 교육 이수자),K120032106110037
1621,"[{'job': '설치/정비/생산', 'career': 36}]","['생산/제조', '번역']","에코백 인쇄, 재단 보조 구인",K120121503060019
1622,"[{'job': '설치/정비/생산', 'career': 18}, {'job': '연구/공학기술', 'career': 18}]","['생산/제조', '문화시설']",[울산 온산공단] 세탁직원 모집,K120121504020003
1623,"[{'job': '설치/정비/생산', 'career': 24}, {'job': '보건/의료', 'career': 38}]","['생산/제조', '아파트청소']",단순생산직 모집합니다,K120121505040024
1624,"[{'job': '설치/정비/생산', 'career': 36}, {'job': '영업/판매/운전/운송', 'career': 8}, {'job': '연구/공학기술', 'career': 37}]","['생산/제조', '리서치/설문']",녹용 생산  단순 종사원 채용,K120121506160025
1625,"[{'job': '설치/정비/생산', 'career': 36}, {'job': '교육/법률/사회복지/경찰/소방직/군인', 'career': 23}]",['생산/제조'],울산 고려아연 내 공장 세탁실근무 직원 모집,K120121507020018
1626,"[{'job': '설치/정비/생산', 'career': 27}]","['생산/제조', '리서치/설문']",함께 일하실 분을 찾습니다(식품생산직),K120121509070007
1627,"[{'job': '설치/정비/생산', 'career': 19}, {'job': '연구/공학기술', 'career': 9}]",['생산/제조'],재봉사 업무보조 모집-미싱보조원 채용,K120121509170028
1628,"[{'job': '설치/정비/생산', 'career': 19}, {'job': '예술/디자인/방송/스포츠', 'career': 11}, {'job': '영업/판매/운전/운송', 'career': 40}]","['생산/제조', '문화예술', '택배']",(주)시온휴먼 한성식품 생산직 사원모집,K120121510020002
1629,"[{'job': '설치/정비/생산', 'career': 25}, {'job': '영업/판매/운전/운송', 'career': 25}]",['생산/제조'],단순생산직 모집합니다,K120121510130027
1630,"[{'job': '설치/정비/생산', 'career': 13}, {'job': '보건/의료', 'career': 6}]","['생산/제조', '번역', '방역']","(주)제이패브릭 '미싱사' 경력자 모집 ,숙련된 미싱사분 모집합니다!!",K120121510270050
1631,"[{'job': '설치/정비/생산', 'career': 27}, {'job': '건설/채굴', 'career': 34}]","['생산/제조', '번역']",치과기공소 제조관련 단순종사원 (장년인턴지원금 대상자),K120121510280036
1632,"[{'job': '설치/정비/생산', 'career': 39}]","['생산/제조', '청소원']",(주)시온휴먼 한성식품 생산직 사원모집,K120121510300040
1633,"[{'job': '설치/정비/생산', 'career': 27}, {'job': '미용/여행/숙박/음식/경비/청소', 'career': 32}]","['생산/제조', '제품검사']",동화무약 녹용제조 생산직 구인,K120121511160018
